,Timestamp,Eixo X,Eixo Y,Eixo Z
0,812.9404935836792,-0.014160,0.016357,1.064697
1,812.947479724884,-0.007812,0.013184,1.063721
2,812.9514636993408,-0.011719,0.021973,1.069580
3,812.9544575214386,-0.019043,0.022705,1.077393
4,812.9574501514435,-0.003906,0.017822,1.061523
5,812.9594440460205,-0.003662,0.012695,1.065430
6,812.9644348621368,-0.020020,0.009033,1.060303
7,812.9684212207794,-0.017822,0.007568,1.074219
8,812.9714493751526,-0.017822,0.006592,1.064209
9,812.9744036197662,0.001465,0.019043,1.053467
10,812.9784343242645,-0.009766,0.019531,1.061768
11,812.984377861023,-0.012207,0.014648,1.068359
12,812.9873716831207,-0.015869,0.006592,1.079346
13,812.989363193512,-0.017822,0.017334,1.072266
14,812.993396282196,-0.017090,0.017334,1.064697
15,812.9973406791687,-0.019775,0.001709,1.076416
16,813.000333070755,-0.013428,0.017822,1.072510
17,813.0023701190948,-0.017334,0.006348,1.068848
18,813.0053193569183,-0.010742,0.010498,1.067627
19,813.0143067836761,-0.012695,0.016113,1.071045
20,813.0182857513428,-0.005127,0.010254,1.064697
21,813.0212771892548,-0.017578,0.024658,1.059326
22,813.0243082046509,-0.029297,0.019043,1.076660
23,813.0273015499115,-0.017578,0.010498,1.072021
24,813.0338044166565,-0.011719,0.023926,1.068848
25,813.0367963314056,-0.021973,0.023682,1.065674
26,813.0397877693176,-0.013184,0.012695,1.059570
27,813.044774055481,-0.013184,0.014893,1.072998
28,813.0487654209137,-0.009766,0.019531,1.081055
29,813.0517566204071,-0.013184,0.023682,1.072998
30,813.0560007095337,-0.015625,0.020752,1.072998
31,813.0587365627289,-0.019287,0.020752,1.065918
32,813.063723564148,-0.008545,0.010010,1.063965
33,813.0657181739807,-0.009766,0.023193,1.061768
34,813.0687112808228,-0.015381,0.006348,1.068604
35,813.0756919384003,-0.008057,0.021729,1.083252
36,813.0816776752472,0.000488,0.011475,1.066406
37,813.0846679210663,-0.011963,0.015625,1.077637
38,813.0876619815826,-0.013916,0.008545,1.064697
39,813.0906600952148,-0.009033,0.020752,1.073486
40,813.0926485061646,-0.014160,0.020020,1.065918
41,813.0966753959656,-0.019775,0.003906,1.066162
42,813.0986695289612,-0.020996,0.013428,1.069336
43,813.1036190986633,-0.011475,0.015137,1.066895
44,813.1076061725616,-0.008789,0.014160,1.056152
45,813.1116013526917,-0.015625,0.015625,1.073730
46,813.1175804138184,-0.013916,0.014160,1.077637
47,813.1195738315582,-0.014404,0.028564,1.064697
48,813.1225666999817,-0.012207,0.030762,1.063477
49,813.1255581378937,-0.015625,0.011963,1.079590
50,813.1285917758942,-0.017334,0.021729,1.059326
51,813.1315486431122,0.000244,0.011963,1.074463
52,813.1345355510712,-0.007324,0.008301,1.076172
53,813.1375277042389,-0.012939,0.010010,1.072021
54,813.1405217647552,-0.009033,0.012939,1.057373
55,813.1445105075836,-0.020264,-0.003174,1.064697
56,813.1530029773712,-0.016602,0.014160,1.073486
57,813.1559941768646,-0.005859,0.013184,1.063477
58,813.159984588623,-0.002686,0.011475,1.066895
59,813.1639719009399,-0.017822,0.014160,1.064941
60,813.1669657230377,-0.021240,0.031982,1.058594
61,813.1689598560333,-0.023926,0.009766,1.076172
62,813.1719512939453,-0.011719,0.018555,1.073242
63,813.1759810447693,-0.012207,0.017578,1.064941
64,813.179931640625,-0.013184,0.010010,1.067139
65,813.1839175224304,-0.021973,0.009521,1.066406
66,813.1869490146637,-0.011963,0.027100,1.064209
67,813.1899020671844,-0.011230,0.017334,1.070068
68,813.1928977966309,-0.013184,0.006104,1.081787
69,813.195886850357,-0.015625,0.002930,1.063721
70,813.1989185810089,-0.020996,0.015381,1.066650
71,813.2018692493439,0.003662,0.020752,1.063965
72,813.2039077281952,-0.011963,0.017090,1.064209
73,813.2088539600372,-0.017822,0.007080,1.066406
74,813.2128937244415,-0.008789,0.000977,1.066895
75,813.2168309688568,-0.014404,0.018555,1.066162
76,813.2198624610901,-0.012207,0.020508,1.082031
77,813.2228138446808,-0.026367,0.011963,1.074219
78,813.2258079051971,-0.011475,0.012451,1.070312
79,813.2297985553741,-0.011230,0.016846,1.071777
80,813.2327890396118,-0.024170,0.009277,1.072754
81,813.2347841262817,-0.020752,0.003174,1.060791
82,813.2377758026123,-0.018311,0.023926,1.054199
83,813.241765499115,-0.019287,0.021729,1.077881
84,813.245753288269,-0.017578,0.023682,1.067871
85,813.2487843036652,-0.020508,0.017090,1.060547
86,813.2517459392548,-0.013184,0.029297,1.076416
87,813.2557246685028,-0.015137,0.013916,1.059326
88,813.258716583252,-0.006348,0.023438,1.062256
89,813.2628087997437,-0.008545,0.012451,1.058105
90,813.2667832374573,-0.013184,0.012207,1.069092
91,813.2727258205414,-0.015869,0.012695,1.066895
92,813.2767181396484,-0.013672,0.013428,1.068115
93,813.2807047367096,-0.019775,0.011475,1.077148
94,813.2836995124817,-0.020020,0.014648,1.057861
95,813.2866888046265,-0.015869,0.010254,1.063965
96,813.2886824607849,-0.010986,0.017822,1.068359
97,813.2916750907898,-0.011475,0.010254,1.059326
98,813.2946696281433,-0.016113,0.014893,1.077393
99,813.2987613677979,-0.011719,0.008301,1.080811
100,813.3026456832886,-0.010010,0.005859,1.062012
101,813.304639339447,-0.002930,0.010986,1.072510
102,813.3086333274841,-0.011963,0.008057,1.076416
103,813.3126223087311,-0.012451,0.022217,1.067383
104,813.3166489601135,-0.010010,0.013916,1.072266
105,813.3196394443512,-0.015625,0.020752,1.060059
106,813.3226370811462,-0.010010,0.028076,1.054688
107,813.3255836963654,-0.012451,0.010010,1.080566
108,813.3285763263702,-0.020264,0.018555,1.075684
109,813.3320760726929,-0.020752,0.011963,1.053711
110,813.3351097106934,-0.006348,0.001221,1.074707
111,813.3370635509491,-0.007812,0.010010,1.067383
112,813.3420524597168,-0.005859,0.006104,1.070068
113,813.345041513443,-0.015137,0.015137,1.065430
114,813.3510670661926,-0.014160,-0.004639,1.070068
115,813.3540229797363,-0.018799,0.016602,1.066650
116,813.3570501804352,-0.019531,0.003174,1.074951
117,813.3600029945374,-0.024902,0.012451,1.054443
118,813.3689775466919,-0.017090,0.033447,1.062744
119,813.3729727268219,-0.019531,0.012939,1.064941
120,813.3759591579437,-0.018555,0.014648,1.073486
121,813.3799488544464,-0.011230,0.011719,1.068359
122,813.383939743042,-0.010986,0.004150,1.076904
123,813.386932849884,-0.023193,0.014160,1.078369
124,813.3899240493774,-0.012451,0.021240,1.068848
125,813.391918182373,-0.003906,0.015869,1.064209
126,813.3969054222107,-0.016846,0.020508,1.070557
127,813.3998982906342,-0.011475,0.018311,1.067139
128,813.4018895626068,-0.013916,0.020752,1.071045
129,813.4049246311188,-0.028076,0.007324,1.076172
130,813.4088706970215,-0.017822,0.008057,1.063721
131,813.4138832092285,-0.011230,0.014404,1.068848
132,813.4178466796875,-0.015137,0.014404,1.066650
133,813.4198412895203,-0.016602,0.031982,1.054688
134,813.4228339195251,-0.013184,0.021484,1.074219
135,813.4258279800415,-0.012695,0.020508,1.063965
136,813.4298150539398,-0.019043,0.011719,1.080078
137,813.4358463287354,-0.015381,0.010254,1.064209
138,813.4387907981873,-0.021240,0.018799,1.058594
139,813.4428222179413,-0.007324,0.010742,1.070068
140,813.4477763175964,-0.015137,0.014893,1.062012
141,813.4517560005188,-0.005127,0.010498,1.066162
142,813.4547924995422,-0.014404,0.018555,1.056641
143,813.458738565445,-0.016113,0.024902,1.080322
144,813.4627306461334,-0.024658,0.014648,1.073730
145,813.4657211303711,-0.020752,0.028809,1.062988
146,813.467716217041,-0.019043,0.013184,1.072266
147,813.4717061519623,-0.013428,0.010498,1.050293
148,813.4757308959961,-0.023682,0.008057,1.078613
149,813.4817125797272,-0.014893,0.011719,1.065674
150,813.4856667518616,-0.014404,0.021484,1.072021
151,813.4886608123779,-0.006104,0.005859,1.074951
152,813.4916605949402,-0.021973,0.019287,1.062012
153,813.4966371059418,-0.018311,0.020752,1.073242
154,813.5006284713745,-0.016113,0.015625,1.072266
155,813.5036175251007,-0.013916,0.025391,1.070068
156,813.5066101551056,-0.017090,0.021484,1.072510
157,813.510598897934,-0.015381,0.008545,1.062500
158,813.5146276950836,-0.017090,0.016113,1.070068
159,813.5175802707672,-0.021729,0.017822,1.054443
160,813.523565530777,-0.009766,0.009521,1.070557
161,813.5265574455261,-0.018799,0.006836,1.067627
162,813.5305850505829,-0.013428,0.025879,1.060303
163,813.5335392951965,-0.018555,0.011963,1.078369
164,813.5365312099457,0.007568,0.026123,1.061523
165,813.5405235290527,-0.021729,0.017334,1.053467
166,813.5435128211975,-0.019531,0.014160,1.070068
167,813.5495004653931,-0.007324,0.015625,1.061768
168,813.5524890422821,-0.016602,0.025391,1.069092
169,813.555478811264,-0.010254,0.004883,1.065918
170,813.5584733486176,-0.016846,0.013916,1.080078
171,813.5624604225159,-0.022949,0.009521,1.084229
172,813.5674493312836,-0.010254,0.009766,1.065918
173,813.5704417228699,-0.018066,0.020264,1.060303
174,813.5744290351868,-0.010010,0.018555,1.067627
175,813.5774204730988,-0.011475,0.023193,1.069824
176,813.5824513435364,-0.017822,0.007080,1.073730
177,813.5853984355927,-0.015625,0.007080,1.070557
178,813.5884299278259,-0.002441,0.007324,1.057861
179,813.5914223194122,-0.017578,0.007568,1.066650
180,813.5953733921051,-0.015381,0.014648,1.072021
181,813.598363161087,-0.015625,0.006836,1.062012
182,813.6013560295105,-0.012207,0.015869,1.066162
183,813.6043846607208,-0.003418,0.026611,1.066895
184,813.6073427200317,-0.022949,0.022461,1.063232
185,813.6113305091858,-0.011475,0.015381,1.058838
186,813.6163160800934,-0.020996,0.006104,1.081787
187,813.6193103790283,-0.012939,0.015137,1.070801
188,813.6223034858704,-0.016846,0.010986,1.064453
189,813.6252958774567,-0.017334,0.015381,1.065918
190,813.6342689990997,-0.022949,0.005615,1.073486
191,813.6373035907745,-0.003662,0.020508,1.062256
192,813.641282081604,-0.010254,0.017578,1.061768
193,813.6452400684357,-0.019531,0.016602,1.066650
194,813.6492290496826,-0.022217,-0.006592,1.078125
195,813.6512227058411,-0.006836,0.014404,1.070801
196,813.6542150974274,-0.009033,0.012207,1.069336
197,813.658205986023,-0.010010,0.013428,1.063965
198,813.6611986160278,-0.007568,0.010742,1.072021
199,813.6652257442474,-0.017578,0.005127,1.069580
200,813.6672196388245,-0.011719,0.011963,1.056885
201,813.6702146530151,-0.015137,0.018555,1.062500
202,813.6751983165741,-0.012207,0.014648,1.066406
203,813.6781530380249,-0.015137,0.023193,1.068848
204,813.6841790676117,-0.004395,0.028076,1.064453
205,813.6881251335144,-0.019531,0.030273,1.063721
206,813.6911151409149,-0.009033,0.015869,1.060059
207,813.6941084861755,-0.013672,0.014160,1.073486
208,813.6990971565247,-0.015625,0.011475,1.068359
209,813.7020888328552,-0.009521,0.030029,1.069580
210,813.7060785293579,-0.015625,0.013184,1.062988
211,813.7090854644775,-0.020020,0.001465,1.069824
212,813.7140655517578,-0.012695,0.016602,1.057617
213,813.7190413475037,-0.020264,0.020264,1.072021
214,813.7220358848572,-0.015869,0.009277,1.065674
215,813.7250645160675,-0.010742,0.016846,1.066162
216,813.7300126552582,-0.008789,0.004639,1.075195
217,813.7330043315887,-0.013672,0.010742,1.064697
218,813.7359983921051,-0.005127,0.010986,1.066895
219,813.7389900684357,-0.006836,0.017090,1.061035
220,813.743974685669,-0.010742,0.010986,1.065674
221,813.7509567737579,-0.011230,0.016357,1.080078
222,813.7549540996552,-0.011963,0.007324,1.063477
223,813.7589380741119,-0.001465,0.011230,1.064453
224,813.7619276046753,-0.006592,0.020264,1.072510
225,813.7669134140015,-0.017578,0.018555,1.075684
226,813.7699081897736,-0.015137,0.022461,1.065430
227,813.7738950252533,-0.021240,0.014648,1.063965
228,813.7768867015839,-0.018555,0.010742,1.074219
229,813.7818744182587,-0.010986,0.022949,1.066650
230,813.7848649024963,-0.018555,0.019043,1.082764
231,813.7868599891663,-0.020020,0.013428,1.063721
232,813.7898621559143,-0.013672,0.016357,1.062500
233,813.7918474674225,-0.013916,0.012939,1.067139
234,813.7978408336639,-0.006836,0.011719,1.073730
235,813.8018200397491,-0.020020,0.010986,1.064209
236,813.803816318512,-0.008789,0.008789,1.075195
237,813.8078057765961,-0.010498,0.013672,1.066406
238,813.8107962608337,-0.019043,0.012695,1.061279
239,813.8157842159271,-0.017822,0.024170,1.060059
240,813.8187761306763,-0.013184,0.027100,1.081787
241,813.8207714557648,-0.017822,0.013672,1.082764
242,813.8237633705139,-0.010010,0.008301,1.069336
243,813.827752828598,-0.021729,0.009766,1.089844
244,813.8317413330078,-0.016113,0.003662,1.065674
245,813.8347339630127,-0.020264,0.007080,1.067383
246,813.8377251625061,-0.017822,0.009521,1.066406
247,813.8417146205902,-0.009033,0.005615,1.073730
248,813.8457036018372,-0.005859,0.019775,1.074219
249,813.8516867160797,0.004395,0.013916,1.062744
250,813.8546802997589,-0.017578,0.025635,1.064697
251,813.8576736450195,-0.012451,0.018799,1.063477
252,813.8606648445129,-0.024658,0.021484,1.062256
253,813.8646535873413,-0.012207,0.020264,1.064209
254,813.8676459789276,-0.004150,0.021729,1.067627
255,813.8706390857697,-0.021240,0.013428,1.065918
256,813.875625371933,-0.009277,0.011230,1.075928
257,813.8822507858276,-0.017578,0.009033,1.080566
258,813.8852407932281,-0.020996,0.018066,1.062500
259,813.8882324695587,-0.022949,0.016846,1.061768
260,813.8912243843079,-0.015381,0.026855,1.072510
261,813.8942153453827,-0.013428,0.012451,1.065918
262,813.8982055187225,-0.016602,0.004639,1.075195
263,813.9011967182159,-0.013672,0.012939,1.065918
264,813.9051861763,-0.011719,0.018799,1.071045
265,813.9081788063049,-0.023193,0.003906,1.078613
266,813.9141802787781,-0.011719,0.005615,1.066650
267,813.918151140213,-0.008789,0.010254,1.074463
268,813.9211456775665,-0.007080,0.012451,1.066406
269,813.9241368770599,-0.017090,0.021484,1.065186
270,813.9271264076233,-0.015381,0.009033,1.067139
271,813.9331126213074,-0.009033,0.015869,1.073730
272,813.9361042976379,-0.012939,0.025879,1.062012
273,813.9390954971313,-0.013184,0.021484,1.063965
274,813.9420878887177,-0.012451,0.013672,1.064941
275,813.9470756053925,-0.013428,0.028564,1.055664
276,813.9500665664673,-0.012695,0.012451,1.081543
277,813.9540545940399,-0.017578,0.012451,1.080078
278,813.9560513496399,-0.016113,0.017334,1.063477
279,813.9600393772125,-0.009277,0.009033,1.069824
280,813.966023683548,-0.012939,-0.005371,1.058838
281,813.9710104465485,-0.007324,0.002686,1.062012
282,813.9759955406189,-0.019043,0.012939,1.069092
283,813.9819829463959,-0.013916,0.001953,1.080078
284,813.9859707355499,-0.010742,0.020752,1.059326
285,813.9879653453827,-0.009033,0.019043,1.070068
286,813.9919548034668,-0.014160,0.019775,1.071777
287,813.9959425926208,-0.012207,0.010742,1.066162
288,813.9999344348907,-0.016846,0.009521,1.071289
289,814.002926826477,-0.014893,0.015137,1.062256
290,814.0069148540497,-0.014160,0.022705,1.062744
291,814.0099203586578,-0.019287,0.017090,1.075684
292,814.0168902873993,-0.009277,0.015869,1.066406
293,814.0198822021484,-0.022461,0.017090,1.066406
294,814.0228734016418,-0.017090,0.003662,1.077148
295,814.0258648395538,-0.013184,0.014160,1.073730
296,814.0298640727997,-0.014893,0.008545,1.059570
297,814.0328443050385,-0.017822,0.018799,1.080811
298,814.0358371734619,-0.019531,0.012939,1.065918
299,814.0388288497925,-0.015869,0.021240,1.068848
300,814.0428190231323,-0.026123,0.011719,1.084229
301,814.0468091964722,-0.011230,0.022949,1.067383
302,814.0517950057983,-0.012939,0.017578,1.077881
303,814.0547876358032,-0.019287,0.003174,1.077881
304,814.0577800273895,-0.017578,0.014160,1.069824
305,814.0627686977386,-0.012451,0.024658,1.068359
306,814.0657575130463,-0.012207,0.005371,1.068115
307,814.0687508583069,-0.009521,0.011719,1.064209
308,814.0707452297211,-0.025635,0.016846,1.070312
309,814.0757308006287,-0.015625,0.011963,1.064453
310,814.080724477768,-0.013672,0.003174,1.075195
311,814.0857033729553,-0.000244,0.022949,1.057129
312,814.0886962413788,-0.012939,0.013184,1.065430
313,814.0916874408722,-0.009521,0.011963,1.062500
314,814.0956797599792,-0.012451,0.011230,1.078125
315,814.0986702442169,-0.020020,0.002441,1.063965
316,814.1016600131989,-0.013672,0.018066,1.063965
317,814.1066479682922,-0.016602,0.006104,1.067627
318,814.1096391677856,-0.022461,0.005859,1.068359
319,814.1146516799927,-0.019531,0.012207,1.060059
320,814.118616104126,-0.015381,0.021973,1.069824
321,814.122118473053,-0.027100,0.013916,1.079102
322,814.1251089572906,-0.011230,-0.001709,1.068604
323,814.1291344165802,-0.013672,0.026611,1.071777
324,814.1330876350403,-0.018311,0.008789,1.080811
325,814.1350827217102,-0.007812,0.015625,1.066895
326,814.1380743980408,-0.013916,0.015137,1.065918
327,814.1420669555664,-0.010742,0.010742,1.083252
328,814.1450545787811,-0.007080,0.020264,1.054443
329,814.151040315628,-0.024414,0.013184,1.067627
330,814.1540315151215,-0.010010,0.007568,1.068848
331,814.1570236682892,-0.020508,0.007568,1.064941
332,814.1600134372711,-0.026855,0.019287,1.070312
333,814.1640043258667,-0.025146,0.001953,1.065186
334,814.166996717453,-0.017822,0.015137,1.092773
335,814.1699891090393,-0.019775,0.008545,1.073486
