,Timestamp,Eixo X,Eixo Y,Eixo Z
0,22.871410846710205,-0.144043,-0.062988,-0.896973
1,22.888368844985962,-0.160889,-0.082031,-0.891846
2,22.897342681884766,-0.154297,-0.071045,-0.877441
3,22.90233016014099,-0.168457,-0.086426,-0.874512
4,22.90831232070923,-0.155518,-0.072754,-0.882568
5,22.913299083709717,-0.144775,-0.070312,-0.889648
6,22.919283151626587,-0.150635,-0.082520,-0.877686
7,22.924269914627075,-0.156982,-0.073242,-0.872559
8,22.931251764297485,-0.165527,-0.076172,-0.868652
9,22.93623948097229,-0.151855,-0.074707,-0.887451
10,22.941224575042725,-0.151367,-0.076172,-0.887939
11,22.946211338043213,-0.156738,-0.083252,-0.880127
12,22.951197624206543,-0.157715,-0.065186,-0.885498
13,22.95718240737915,-0.154297,-0.079834,-0.878662
14,22.963173389434814,-0.152100,-0.077881,-0.880371
15,22.96915054321289,-0.164551,-0.084473,-0.886475
16,22.97413659095764,-0.153564,-0.085693,-0.874268
17,22.98012089729309,-0.159180,-0.069092,-0.867676
18,22.985107898712158,-0.153564,-0.071777,-0.881836
19,22.990097284317017,-0.154053,-0.074463,-0.883789
20,22.997076272964478,-0.154053,-0.074707,-0.882568
21,23.00405716896057,-0.153320,-0.062256,-0.887939
22,23.011041164398193,-0.161133,-0.075195,-0.882080
23,23.016025066375732,-0.148438,-0.067139,-0.888916
24,23.02101182937622,-0.157227,-0.071045,-0.885986
25,23.02599859237671,-0.143799,-0.080811,-0.895508
26,23.033976554870605,-0.152832,-0.072021,-0.890381
27,23.038964986801147,-0.154785,-0.070068,-0.861572
28,23.044947862625122,-0.157471,-0.077148,-0.894043
29,23.050931692123413,-0.162598,-0.076172,-0.890137
30,23.05591869354248,-0.149414,-0.069580,-0.886719
31,23.061901807785034,-0.160400,-0.072266,-0.888184
32,23.06688928604126,-0.149658,-0.086670,-0.893799
33,23.071876049041748,-0.150146,-0.085693,-0.879639
34,23.076863288879395,-0.160889,-0.075439,-0.880371
35,23.08184838294983,-0.155762,-0.070801,-0.889648
36,23.086835861206055,-0.155762,-0.072998,-0.889160
