,Timestamp,Eixo X,Eixo Y,Eixo Z
0,111.02517890930176,-0.005371,0.010254,1.035889
1,111.04117465019226,-0.002197,-0.000488,1.047119
2,111.05643010139465,0.005859,-0.011719,1.057373
3,111.05643010139465,0.010498,0.009033,1.031250
4,111.05643010139465,-0.007568,0.017334,1.049805
5,111.07205057144165,0.006348,-0.000732,1.059082
6,111.07301592826843,-0.000488,0.014893,1.048340
7,111.08101415634155,-0.004639,0.001221,1.046875
8,111.0890121459961,0.013672,-0.005127,1.047607
9,111.0890121459961,-0.005127,0.008301,1.036133
10,111.1312005519867,-0.007080,-0.001709,1.032227
11,111.14683079719543,0.021240,-0.003662,1.056152
12,111.14683079719543,-0.000488,0.004150,1.044434
13,111.16336464881897,0.007324,-0.005859,1.056152
14,111.17139530181885,0.002930,0.015381,1.052246
15,111.17139530181885,0.008301,0.011475,1.032959
16,111.17935538291931,0.007324,0.000000,1.045166
17,111.17935538291931,0.010498,0.013428,1.055420
18,111.18735003471375,0.002197,0.009033,1.032471
19,111.18735003471375,0.000244,0.014648,1.044922
20,111.18735003471375,0.008301,0.001953,1.044434
21,111.19538402557373,0.004883,0.012939,1.038818
22,111.19538402557373,0.009277,0.005127,1.043945
23,111.19538402557373,0.016113,0.020508,1.036133
24,111.20333743095398,-0.005859,0.010986,1.044678
25,111.20333743095398,0.007324,0.006592,1.052734
26,111.20333743095398,0.004883,0.004883,1.046875
27,111.20333743095398,0.010742,-0.007080,1.031250
28,111.21142840385437,0.015869,0.004150,1.052002
29,111.21142840385437,0.004883,0.012939,1.060547
30,111.21142840385437,0.005127,0.010986,1.044189
31,111.21142840385437,0.008057,0.001953,1.045654
32,111.21142840385437,0.015381,0.003906,1.032715
33,111.22705507278442,0.020020,0.004639,1.037598
34,111.22705507278442,0.011475,0.008789,1.055176
35,111.24313306808472,0.003418,0.017822,1.030029
36,111.24313306808472,0.014648,0.010498,1.044434
37,111.24313306808472,0.010010,0.014160,1.053467
38,111.25921845436096,0.002197,-0.007080,1.041016
39,111.25921845436096,0.002441,0.010986,1.047363
40,111.26721811294556,0.014893,-0.008057,1.037354
41,111.30792999267578,0.001709,0.022705,1.036865
42,111.3229570388794,0.007324,0.003662,1.029297
43,111.3229570388794,0.007324,0.013184,1.033203
44,111.3229570388794,0.000977,0.012695,1.037354
45,111.3229570388794,-0.000244,-0.000488,1.049072
46,111.33857822418213,0.004883,-0.003418,1.047852
47,111.33857822418213,0.011719,0.023438,1.022949
48,111.33857822418213,0.012939,-0.005615,1.049805
49,111.33857822418213,0.001221,0.009521,1.035156
50,111.35420060157776,0.006836,0.019531,1.032959
51,111.35420060157776,0.002197,-0.003906,1.049072
52,111.35420060157776,0.008545,0.005615,1.044922
53,111.35420060157776,0.014648,0.012695,1.023682
54,111.35420060157776,-0.001221,-0.007324,1.042725
55,111.35420060157776,-0.003662,-0.004639,1.044678
56,111.37025690078735,-0.002197,0.008057,1.038086
57,111.38641548156738,0.011230,0.003662,1.030762
58,111.38726830482483,0.000000,0.009766,1.039307
59,111.38726830482483,0.007324,0.011475,1.027344
60,111.3953275680542,-0.000732,0.002930,1.038574
61,111.3953275680542,0.020264,0.008789,1.041992
62,111.40326714515686,0.001953,0.007080,1.030762
63,111.41196751594543,0.012939,0.007812,1.029297
64,111.41196751594543,0.002686,0.016357,1.020264
65,111.41196751594543,0.004883,0.015625,1.033447
66,111.42795586585999,0.005371,-0.010742,1.038086
